NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
rook-ceph           rook-ceph-osd-prepare-squirtle-f7jw6                              0/1     Completed   0                2d7h
rook-ceph           rook-ceph-osd-prepare-totodile-2mhm5                              0/1     Completed   0                2d7h
rook-ceph           rook-ceph-snapshot-controller-7dd476c4f9-r8tz8                    1/1     Running     5 (2d1h ago)     2d15h
rook-ceph           rook-ceph-tools-658fd4db6f-hcklr                                  1/1     Running     0                2d15h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-4jmw9          5/5     Running     0                2d15h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-zg4mf          5/5     Running     0                2d15h
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-cgcn2                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-dmm87                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-gppjq                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-km79k                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-ln2xg                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-nl7sz                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-qqk55                    2/2     Running     16 (2d14h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-rp424                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-sr6pd                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.cephfs.csi.ceph.com-nodeplugin-tq8r7                    2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-578sm            5/5     Running     0                2d14h
rook-ceph           rook-ceph.rbd.csi.ceph.com-ctrlplugin-5f745fd754-mgrwt            5/5     Running     0                2d15h
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-29n8t                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-dcx5w                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-fdqxc                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-m4626                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-prnr6                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-r2mz4                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-skvrn                       2/2     Running     16 (2d14h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-szksm                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-vjs59                       2/2     Running     16 (2d15h ago)   9d
rook-ceph           rook-ceph.rbd.csi.ceph.com-nodeplugin-x5hp9                       2/2     Running     16 (2d15h ago)   9d
sabnzbd             sabnzbd-f7456ffcd-qmnrk                                           2/2     Running     0                2d8h
searxng             searxng-main-85d6c58b8c-kqqfv                                     1/1     Running     0                2d15h
searxng             searxng-redis-5b5d46bf8c-xfqmj                                    1/1     Running     0                2d15h
sonarr              sonarr-6d44cd4845-9s24w                                           1/1     Running     0                2d15h
volsync-system      volsync-system-5db49859d-q4sl6                                    2/2     Running     0                2d15h
weaviate-test       weaviate-0                                                        1/1     Running     0                2d14h
woodpecker          woodpecker-agent-0                                                1/1     Running     2 (2d15h ago)    2d15h
woodpecker          woodpecker-server-0                                               1/1     Running     1 (2d5h ago)     2d15h
zot                 zot-0                                                             1/1     Running     0                2d15h
